Sample,Group,Drainage,Lateral_Line_Scales,Transverse_Total,Caudal_Peduncle_Total
AUM10885-1,East,Alabama,47,13,26
AUM10885-2,East,Alabama,43,14,25
AUM10885-3,East,Alabama,43,14,26
AUM10885-4,East,Alabama,44,14,26
AUM10885-5,East,Alabama,47,13,25
AUM10885-6,East,Alabama,45,14,27
AUM10885-7,East,Alabama,45,14,25
AUM10885-8,East,Alabama,44,13,25
AUM19968,East,Alabama,49,12,24
AUM23151,East,Alabama,54,14,29
AUM27682,East,Alabama,52,13,26
AUM6791-1,East,Alabama,46,14,24
AUM6791-2,East,Alabama,48,14,26
AUM6791-3,East,Alabama,49,15,27
AUM6791-4,East,Alabama,46,14,27
AUM6791-5,East,Alabama,48,14,27
TU163142,East,Alabama,52,13,24
TU35057-1,East,Alabama,54,14,27
TU35057-10,East,Alabama,50,15,25
TU35057-11,East,Alabama,48,15,27
TU35057-2,East,Alabama,52,15,26
TU35057-3,East,Alabama,52,13,24
TU35057-4,East,Alabama,49,13,24
TU35057-5,East,Alabama,58,15,25
TU35057-6,East,Alabama,50,13,25
TU35057-7,East,Alabama,50,14,25
TU35057-8,East,Alabama,47,13,25
TU35057-9,East,Alabama,46,13,24
TU35142,East,Alabama,48,14,27
TU70675,East,Alabama,48,14,23
AUM10370-1,East,Altamaha,47,13,23
AUM10370-2,East,Altamaha,47,13,24
AUM10370-3,East,Altamaha,49,13,24
AUM10370-4,East,Altamaha,44,13,25
AUM10370-5,East,Altamaha,53,14,24
AUM14212,East,Altamaha,38,12,20
xxxx_1,East,Altamaha,50,13,27
AUM10749-1,East,Apalachicola,46,13,23
AUM10749-2,East,Apalachicola,47,11,20
AUM10749-3,East,Apalachicola,46,12,21
AUM10815-1,East,Apalachicola,44,11,21
AUM10815-2,East,Apalachicola,44,13,23
AUM10815-3,East,Apalachicola,50,13,24
AUM1285,East,Apalachicola,51,13,26
AUM13373,East,Apalachicola,52,13,24
AUM15153,East,Apalachicola,44,11,24
AUM24067,East,Apalachicola,48,13,25
AUM2850-1,East,Apalachicola,48,12,23
AUM2850-10,East,Apalachicola,47,13,22
AUM2850-11,East,Apalachicola,45,11,21
AUM2850-12,East,Apalachicola,49,13,24
AUM2850-13,East,Apalachicola,43,13,23
AUM2850-14,East,Apalachicola,45,13,24
AUM2850-15,East,Apalachicola,46,13,24
AUM2850-16,East,Apalachicola,45,13,22
AUM2850-17,East,Apalachicola,45,13,23
AUM2850-18,East,Apalachicola,45,13,22
AUM2850-19,East,Apalachicola,43,13,21
AUM2850-2,East,Apalachicola,45,14,23
AUM2850-3,East,Apalachicola,44,13,21
AUM2850-4,East,Apalachicola,46,13,23
AUM2850-5,East,Apalachicola,48,12,22
AUM2850-6,East,Apalachicola,47,12,22
AUM2850-7,East,Apalachicola,43,13,23
AUM2850-8,East,Apalachicola,46,13,22
AUM2850-9,East,Apalachicola,50,13,23
AUM9266,East,Apalachicola,50,13,22
TU64850-1,East,Bayou Pierre,54,15,22
TU64850-2,East,Bayou Pierre,54,15,26
TU76034-1,East,Bayou Pierre,49,15,26
TU76034-2,East,Bayou Pierre,56,15,26
TU91107,East,Bayou Pierre,52,15,25
TU91201-1,East,Bayou Pierre,55,16,25
TU91201-2,East,Bayou Pierre,50,15,25
TU91201-3,East,Bayou Pierre,53,14,24
TU91201-4,East,Bayou Pierre,52,14,22
TU75460,East,Big Black,45,15,25
GSA660705-1,East,Black War_North,54,15,24
GSA660705-2,East,Black War_North,48,14,23
GSA660705-3,East,Black War_North,50,14,24
GSA661903-1,East,Black War_North,51,15,25
GSA661903-2,East,Black War_North,60,16,26
GSA684806-1,East,Black War_North,52,14,25
GSA684806-10,East,Black War_North,57,16,27
GSA684806-2,East,Black War_North,52,15,26
GSA684806-3,East,Black War_North,48,15,26
GSA684806-4,East,Black War_North,52,15,26
GSA684806-5,East,Black War_North,53,15,26
GSA684806-6,East,Black War_North,51,15,24
GSA684806-7,East,Black War_North,47,14,26
GSA684806-8,East,Black War_North,51,14,24
GSA684806-9,East,Black War_North,54,14,26
GSA685506-1,East,Black War_North,54,15,28
GSA685506-2,East,Black War_North,52,14,25
GSA685506-3,East,Black War_North,49,14,26
GSA685506-4,East,Black War_North,47,14,25
GSA685506-5,East,Black War_North,52,14,26
GSA685506-6,East,Black War_North,45,15,25
GSA685506-8,East,Black War_North,50,14,29
GSA700007-1,East,Black War_North,48,14,24
GSA700007-2,East,Black War_North,53,14,23
GSA720409-1,East,Black War_North,54,14,22
GSA720409-2,East,Black War_North,53,14,24
GSA739312-1,East,Black Warrior,50,15,26
GSA739312-2,East,Black Warrior,53,15,23
GSA739312-3,East,Black Warrior,52,15,25
GSA739312-4,East,Black Warrior,50,14,25
GSA739312-5,East,Black Warrior,61,15,24
GSA739312-6,East,Black Warrior,49,15,24
GSA724908-1,East,Black Warrior,56,15,26
GSA724908-2,East,Black Warrior,60,14,24
GSA724908-3,East,Black Warrior,55,15,24
GSA738411-1,East,Black Warrior,59,16,27
GSA738411-2,East,Black Warrior,52,16,28
GSA738411-3,East,Black Warrior,55,15,26
GSA738411-4,East,Black Warrior,56,15,25
GSA738411-5,East,Black Warrior,55,14,26
GSA738411-6,East,Black Warrior,61,14,26
GSA738411-7,East,Black Warrior,53,14,26
GSA749614-1,East,Black Warrior,48,15,22
GSA749614-2,East,Black Warrior,58,16,27
GSA756011-1,East,Black Warrior,52,14,24
GSA756011-2,East,Black Warrior,53,14,22
INHS76301-1,East,Black Warrior,51,14,22
INHS76301-2,East,Black Warrior,49,12,22
INHS76301-3,East,Black Warrior,49,12,19
INHS76301-4,East,Black Warrior,53,14,24
INHS76301-5,East,Black Warrior,47,13,23
UAIC1646-1,East,Black Warrior,52,15,24
UAIC1646-2,East,Black Warrior,52,15,24
UAIC1646-3,East,Black Warrior,47,13,24
UAIC1646-5,East,Black Warrior,47,14,22
UAIC1646-6,East,Black Warrior,50,14,24
UAIC1646-7,East,Black Warrior,47,14,25
UAIC1646-8,East,Black Warrior,54,14,23
UAIC1646-9,East,Black Warrior,52,13,23
UAIC1541.01-1,East,Black Warrior,47,13,23
UAIC1541.01-2,East,Black Warrior,47,13,21
UAIC1541.01-3,East,Black Warrior,55,14,23
UAIC1541.01-4,East,Black Warrior,44,12,20
UAIC1541.01-5,East,Black Warrior,55,13,21
UAIC1541.01-6,East,Black Warrior,47,13,22
UAIC1541.01-7,East,Black Warrior,47,13,22
TU56552,East,Buffalo_Miss_E,50,15,26
TU57952,East,Buffalo_Miss_E,47,14,24
TU61654-1,East,Buffalo_Miss_E,54,13,25
TU61654-2,East,Buffalo_Miss_E,57,15,25
TU61654-3,East,Buffalo_Miss_E,61,15,29
TU61654-4,East,Buffalo_Miss_E,49,14,25
AUM4693-1,East,Choctawhatchee,49,14,25
AUM4693-10,East,Choctawhatchee,48,13,25
AUM4693-11,East,Choctawhatchee,45,13,23
AUM4693-12,East,Choctawhatchee,48,13,23
AUM4693-13,East,Choctawhatchee,49,12,26
AUM4693-14,East,Choctawhatchee,47,12,25
AUM4693-15,East,Choctawhatchee,50,12,26
AUM4693-16,East,Choctawhatchee,50,13,26
AUM4693-17,East,Choctawhatchee,48,15,28
AUM4693-18,East,Choctawhatchee,43,14,28
AUM4693-19,East,Choctawhatchee,51,12,24
AUM4693-2,East,Choctawhatchee,50,13,25
AUM4693-20,East,Choctawhatchee,48,13,25
AUM4693-22,East,Choctawhatchee,51,13,24
AUM4693-23,East,Choctawhatchee,47,12,26
AUM4693-24,East,Choctawhatchee,44,13,24
AUM4693-25,East,Choctawhatchee,49,14,24
AUM4693-26,East,Choctawhatchee,49,14,27
AUM4693-27,East,Choctawhatchee,48,14,25
AUM4693-28,East,Choctawhatchee,49,14,23
AUM4693-29,East,Choctawhatchee,52,14,25
AUM4693-3,East,Choctawhatchee,53,15,24
AUM4693-30,East,Choctawhatchee,53,14,26
AUM4693-4,East,Choctawhatchee,49,13,26
AUM4693-5,East,Choctawhatchee,51,13,25
AUM4693-6,East,Choctawhatchee,48,13,24
AUM4693-7,East,Choctawhatchee,48,12,23
AUM4693-8,East,Choctawhatchee,50,13,23
AUM4693-9,East,Choctawhatchee,47,14,26
AUM20999-1,East,Escambia,52,13,24
AUM20999-2,East,Escambia,50,12,21
AUM20999-3,East,Escambia,51,12,22
AUM20999-4,East,Escambia,54,14,24
ASUMZ20141-1,East,Hatchie,51,14,22
ASUMZ20141-2,East,Hatchie,46,14,20
TU67983-1,East,Homochitto,52,14,23
TU67983-2,East,Homochitto,54,13,23
TU67983-3,East,Homochitto,53,14,24
TU67983-4,East,Homochitto,52,13,23
TU67983-5,East,Homochitto,55,15,26
TU67983-6,East,Homochitto,49,13,25
TU67983-7,East,Homochitto,49,13,25
TU67983-8,East,Homochitto,55,14,25
TU68014-1,East,Homochitto,53,14,24
TU68014-2,East,Homochitto,50,13,22
TU68060,East,Homochitto,57,14,25
TU78730,East,Homochitto,49,13,24
TU84066,East,Homochitto,54,15,25
UAIC2995-1,East,Loosahatchie,50,14,21
UAIC2995-10,East,Loosahatchie,47,15,22
UAIC2995-11,East,Loosahatchie,46,15,24
UAIC2995-12,East,Loosahatchie,47,17,24
UAIC2995-14,East,Loosahatchie,48,17,25
UAIC2995-15,East,Loosahatchie,44,15,23
UAIC2995-16,East,Loosahatchie,50,16,23
UAIC2995-17,East,Loosahatchie,53,14,22
UAIC2995-18,East,Loosahatchie,49,14,24
UAIC2995-2,East,Loosahatchie,53,14,25
UAIC2995-3,East,Loosahatchie,44,15,24
UAIC2995-4,East,Loosahatchie,48,15,27
UAIC2995-5,East,Loosahatchie,47,15,23
UAIC2995-6,East,Loosahatchie,46,15,24
UAIC2995-7,East,Loosahatchie,49,16,23
UAIC2995-8,East,Loosahatchie,49,15,22
UAIC2995-9,East,Loosahatchie,47,15,24
TU55713,East,Lower Miss_E,57,15,27
TU69003,East,Lower Miss_E,54,15,26
INHS38375-1,East,Obion,47,14,24
INHS38375-2,East,Obion,49,14,23
INHS48195,East,Obion,41,13,24
INHS87187-1,East,Obion,49,14,23
INHS87187-2,East,Obion,50,13,23
INHS87187-3,East,Obion,50,13,24
INHS87187-4,East,Obion,52,13,24
SIU3335-1,East,Obion,44,13,23
SIU3335-10,East,Obion,46,13,23
SIU3335-11,East,Obion,50,12,22
SIU3335-12,East,Obion,43,12,25
SIU3335-13,East,Obion,47,14,23
SIU3335-14,East,Obion,46,13,24
SIU3335-15,East,Obion,46,13,22
SIU3335-16,East,Obion,49,14,23
SIU3335-2,East,Obion,43,14,22
SIU3335-3,East,Obion,44,13,22
SIU3335-4,East,Obion,48,12,23
SIU3335-5,East,Obion,46,15,26
SIU3335-6,East,Obion,47,13,22
SIU3335-7,East,Obion,45,15,25
SIU3335-8,East,Obion,45,15,25
SIU3335-9,East,Obion,47,13,24
SIU4126-1,East,Obion,46,13,23
SIU4126-10,East,Obion,48,13,21
SIU4126-11,East,Obion,43,13,23
SIU4126-12,East,Obion,44,15,25
SIU4126-13,East,Obion,46,14,23
SIU4126-14,East,Obion,45,14,25
SIU4126-2,East,Obion,44,13,24
SIU4126-3,East,Obion,45,13,22
SIU4126-4,East,Obion,47,12,21
SIU4126-5,East,Obion,43,13,22
SIU4126-6,East,Obion,48,12,21
SIU4126-7,East,Obion,50,14,25
SIU4126-8,East,Obion,42,13,23
SIU4126-9,East,Obion,47,13,24
UAIC8622.01,East,Obion,49,13,24
UAIC8625.01-1,East,Obion,48,13,23
UAIC8625.01-3,East,Obion,53,14,21
UAIC8625.01-4,East,Obion,48,12,20
TU4284-1,East,Pascagoula,52,15,25
TU4284-10,East,Pascagoula,56,15,23
