Sample,Group,Drainage,Lateral_Line_Scales,Transverse_Total,Caudal_Peduncle_Total
AUM10885-1,0,Alabama,47,13,26
AUM10885-2,0,Alabama,43,14,25
AUM10885-3,0,Alabama,43,14,26
AUM10885-4,0,Alabama,44,14,26
AUM10885-5,0,Alabama,47,13,25
AUM10885-6,0,Alabama,45,14,27
AUM10885-7,0,Alabama,45,14,25
AUM10885-8,0,Alabama,44,13,25
AUM19968,0,Alabama,49,12,24
AUM23151,0,Alabama,54,14,29
AUM27682,0,Alabama,52,13,26
AUM6791-1,0,Alabama,46,14,24
AUM6791-2,0,Alabama,48,14,26
AUM6791-3,0,Alabama,49,15,27
AUM6791-4,0,Alabama,46,14,27
AUM6791-5,0,Alabama,48,14,27
TU163142,0,Alabama,52,13,24
TU35057-1,0,Alabama,54,14,27
TU35057-10,0,Alabama,50,15,25
TU35057-11,0,Alabama,48,15,27
TU35057-2,0,Alabama,52,15,26
TU35057-3,0,Alabama,52,13,24
TU35057-4,0,Alabama,49,13,24
TU35057-5,0,Alabama,58,15,25
TU35057-6,0,Alabama,50,13,25
TU35057-7,0,Alabama,50,14,25
TU35057-8,0,Alabama,47,13,25
TU35057-9,0,Alabama,46,13,24
TU35142,0,Alabama,48,14,27
TU70675,0,Alabama,48,14,23
AUM10370-1,0,Altamaha,47,13,23
AUM10370-2,0,Altamaha,47,13,24
AUM10370-3,0,Altamaha,49,13,24
AUM10370-4,0,Altamaha,44,13,25
AUM10370-5,0,Altamaha,53,14,24
AUM14212,0,Altamaha,38,12,20
xxxx_1,0,Altamaha,50,13,27
AUM10749-1,0,Apalachicola,46,13,23
AUM10749-2,0,Apalachicola,47,11,20
AUM10749-3,0,Apalachicola,46,12,21
AUM10815-1,0,Apalachicola,44,11,21
AUM10815-2,0,Apalachicola,44,13,23
AUM10815-3,0,Apalachicola,50,13,24
AUM1285,0,Apalachicola,51,13,26
AUM13373,0,Apalachicola,52,13,24
AUM15153,0,Apalachicola,44,11,24
AUM24067,0,Apalachicola,48,13,25
AUM2850-1,0,Apalachicola,48,12,23
AUM2850-10,0,Apalachicola,47,13,22
AUM2850-11,0,Apalachicola,45,11,21
AUM2850-12,0,Apalachicola,49,13,24
AUM2850-13,0,Apalachicola,43,13,23
AUM2850-14,0,Apalachicola,45,13,24
AUM2850-15,0,Apalachicola,46,13,24
AUM2850-16,0,Apalachicola,45,13,22
AUM2850-17,0,Apalachicola,45,13,23
AUM2850-18,0,Apalachicola,45,13,22
AUM2850-19,0,Apalachicola,43,13,21
AUM2850-2,0,Apalachicola,45,14,23
AUM2850-3,0,Apalachicola,44,13,21
AUM2850-4,0,Apalachicola,46,13,23
AUM2850-5,0,Apalachicola,48,12,22
AUM2850-6,0,Apalachicola,47,12,22
AUM2850-7,0,Apalachicola,43,13,23
AUM2850-8,0,Apalachicola,46,13,22
AUM2850-9,0,Apalachicola,50,13,23
AUM9266,0,Apalachicola,50,13,22
TU64850-1,0,Bayou Pierre,54,15,22
TU64850-2,0,Bayou Pierre,54,15,26
TU76034-1,0,Bayou Pierre,49,15,26
TU76034-2,0,Bayou Pierre,56,15,26
TU91107,0,Bayou Pierre,52,15,25
TU91201-1,0,Bayou Pierre,55,16,25
